  0 TAO,  Function value: 7.66596,  Residual: 1.60677 
  0 TAO,  Function value: 7.66596,  Residual: 1.6015 
  0 TAO,  Function value: 7.66596,  Residual: 1.59357 
  0 TAO,  Function value: 7.66596,  Residual: 1.57569 
  0 TAO,  Function value: 7.66596,  Residual: 1.5714 
  0 TAO,  Function value: 7.47916,  Residual: 1.74707 
  0 TAO,  Function value: 7.47916,  Residual: 1.72316 
  0 TAO,  Function value: 7.47916,  Residual: 1.72132 
  0 TAO,  Function value: 7.47916,  Residual: 1.70486 
  0 TAO,  Function value: 7.47916,  Residual: 1.7005 
  0 TAO,  Function value: 7.47916,  Residual: 1.69536 
  0 TAO,  Function value: 7.47916,  Residual: 1.69376 
  0 TAO,  Function value: 7.47916,  Residual: 1.69249 
  0 TAO,  Function value: 7.47916,  Residual: 1.68411 
  0 TAO,  Function value: 7.47916,  Residual: 1.6839 
  0 TAO,  Function value: 7.47916,  Residual: 1.67604 
  0 TAO,  Function value: 7.47916,  Residual: 1.67419 
  0 TAO,  Function value: 7.47916,  Residual: 1.66836 
  0 TAO,  Function value: 7.29542,  Residual: 1.84688 
  0 TAO,  Function value: 7.29542,  Residual: 1.83795 
  0 TAO,  Function value: 7.29542,  Residual: 1.82997 
  0 TAO,  Function value: 7.29542,  Residual: 1.81465 
  0 TAO,  Function value: 7.29542,  Residual: 1.81036 
  0 TAO,  Function value: 7.29542,  Residual: 1.79734 
  0 TAO,  Function value: 7.29542,  Residual: 1.75945 
  0 TAO,  Function value: 7.29542,  Residual: 1.73101 
  0 TAO,  Function value: 7.29542,  Residual: 1.73052 
  0 TAO,  Function value: 7.22336,  Residual: 1.76332 
