  Iteration information for tao_brgn_subsolver_ solve.
314 TAO,  Function value: 1.15767e-06,  Residual: 4.35848e-07 
315 TAO,  Function value: 1.15766e-06,  Residual: 3.30249e-07 
316 TAO,  Function value: 1.15765e-06,  Residual: 2.87979e-07 
317 TAO,  Function value: 1.15765e-06,  Residual: 3.29659e-07 
318 TAO,  Function value: 1.15765e-06,  Residual: 5.03655e-07 
319 TAO,  Function value: 1.15762e-06,  Residual: 3.40377e-07 
320 TAO,  Function value: 1.15762e-06,  Residual: 3.86625e-07 
321 TAO,  Function value: 1.1576e-06,  Residual: 3.98907e-07 
322 TAO,  Function value: 1.1576e-06,  Residual: 5.59392e-07 
323 TAO,  Function value: 1.15758e-06,  Residual: 4.43088e-07 
324 TAO,  Function value: 1.15756e-06,  Residual: 4.41102e-07 
325 TAO,  Function value: 1.15755e-06,  Residual: 3.49649e-07 
326 TAO,  Function value: 1.15753e-06,  Residual: 3.43725e-07 
327 TAO,  Function value: 1.15753e-06,  Residual: 3.37924e-07 
328 TAO,  Function value: 1.15751e-06,  Residual: 3.25138e-07 
329 TAO,  Function value: 1.1575e-06,  Residual: 3.16703e-07 
330 TAO,  Function value: 1.1575e-06,  Residual: 4.53531e-07 
331 TAO,  Function value: 1.15749e-06,  Residual: 4.45156e-07 
332 TAO,  Function value: 1.15747e-06,  Residual: 4.37292e-07 
333 TAO,  Function value: 1.15746e-06,  Residual: 4.25034e-07 
334 TAO,  Function value: 1.15744e-06,  Residual: 4.65675e-07 
335 TAO,  Function value: 1.15744e-06,  Residual: 5.27011e-07 
336 TAO,  Function value: 1.15743e-06,  Residual: 5.24454e-07 
337 TAO,  Function value: 1.1574e-06,  Residual: 4.32742e-07 
338 TAO,  Function value: 1.15739e-06,  Residual: 3.71321e-07 
339 TAO,  Function value: 1.15738e-06,  Residual: 4.44876e-07 
340 TAO,  Function value: 1.15737e-06,  Residual: 3.15196e-07 
341 TAO,  Function value: 1.15736e-06,  Residual: 3.45524e-07 
342 TAO,  Function value: 1.15736e-06,  Residual: 4.61535e-07 
343 TAO,  Function value: 1.15735e-06,  Residual: 3.77858e-07 
344 TAO,  Function value: 1.15734e-06,  Residual: 4.44053e-07 
345 TAO,  Function value: 1.15732e-06,  Residual: 3.70086e-07 
346 TAO,  Function value: 1.15731e-06,  Residual: 4.16675e-07 
347 TAO,  Function value: 1.1573e-06,  Residual: 5.42103e-07 
348 TAO,  Function value: 1.15728e-06,  Residual: 3.77243e-07 
349 TAO,  Function value: 1.15727e-06,  Residual: 4.18939e-07 
350 TAO,  Function value: 1.15727e-06,  Residual: 4.85708e-07 
351 TAO,  Function value: 1.15725e-06,  Residual: 3.5758e-07 
352 TAO,  Function value: 1.15724e-06,  Residual: 3.80501e-07 
353 TAO,  Function value: 1.15723e-06,  Residual: 3.83085e-07 
354 TAO,  Function value: 1.15722e-06,  Residual: 4.54695e-07 
355 TAO,  Function value: 1.1572e-06,  Residual: 3.7083e-07 
356 TAO,  Function value: 1.15719e-06,  Residual: 4.69951e-07 
357 TAO,  Function value: 1.15719e-06,  Residual: 4.30239e-07 
358 TAO,  Function value: 1.15717e-06,  Residual: 4.15234e-07 
359 TAO,  Function value: 1.15717e-06,  Residual: 4.21444e-07 
360 TAO,  Function value: 1.15716e-06,  Residual: 3.48248e-07 
361 TAO,  Function value: 1.15715e-06,  Residual: 3.62497e-07 
362 TAO,  Function value: 1.15714e-06,  Residual: 3.1851e-07 
363 TAO,  Function value: 1.15713e-06,  Residual: 2.80651e-07 
364 TAO,  Function value: 1.15713e-06,  Residual: 3.49217e-07 
365 TAO,  Function value: 1.15712e-06,  Residual: 2.47097e-07 
366 TAO,  Function value: 1.15711e-06,  Residual: 3.11928e-07 
367 TAO,  Function value: 1.15711e-06,  Residual: 2.8751e-07 
368 TAO,  Function value: 1.1571e-06,  Residual: 3.28508e-07 
369 TAO,  Function value: 1.15709e-06,  Residual: 2.74874e-07 
370 TAO,  Function value: 1.15708e-06,  Residual: 3.26168e-07 
371 TAO,  Function value: 1.15708e-06,  Residual: 1.9475e-07 
372 TAO,  Function value: 1.15707e-06,  Residual: 2.72544e-07 
373 TAO,  Function value: 1.15707e-06,  Residual: 2.75639e-07 
374 TAO,  Function value: 1.15706e-06,  Residual: 2.85936e-07 
375 TAO,  Function value: 1.15706e-06,  Residual: 4.42677e-07 
376 TAO,  Function value: 1.15705e-06,  Residual: 3.615e-07 
377 TAO,  Function value: 1.15704e-06,  Residual: 3.4619e-07 
378 TAO,  Function value: 1.15704e-06,  Residual: 4.45886e-07 
379 TAO,  Function value: 1.15703e-06,  Residual: 3.09351e-07 
380 TAO,  Function value: 1.15703e-06,  Residual: 2.87036e-07 
381 TAO,  Function value: 1.15703e-06,  Residual: 3.41857e-07 
382 TAO,  Function value: 1.15702e-06,  Residual: 3.09887e-07 
383 TAO,  Function value: 1.15701e-06,  Residual: 3.00489e-07 
384 TAO,  Function value: 1.15701e-06,  Residual: 2.21666e-07 
385 TAO,  Function value: 1.157e-06,  Residual: 2.08521e-07 
386 TAO,  Function value: 1.157e-06,  Residual: 2.44543e-07 
387 TAO,  Function value: 1.157e-06,  Residual: 3.45339e-07 
388 TAO,  Function value: 1.15699e-06,  Residual: 2.45251e-07 
389 TAO,  Function value: 1.15699e-06,  Residual: 2.5589e-07 
