  578 KSP Residual norm 1.19777e-07 
  579 KSP Residual norm 1.17953e-07 
  580 KSP Residual norm 1.15566e-07 
  581 KSP Residual norm 1.13022e-07 
  582 KSP Residual norm 1.09786e-07 
  583 KSP Residual norm 1.06022e-07 
  584 KSP Residual norm 1.00932e-07 
  585 KSP Residual norm 9.7397e-08 
  586 KSP Residual norm 9.45544e-08 
  587 KSP Residual norm 9.21832e-08 
  588 KSP Residual norm 9.02834e-08 
  589 KSP Residual norm 8.88458e-08 
  590 KSP Residual norm 8.75735e-08 
  591 KSP Residual norm 8.59709e-08 
  592 KSP Residual norm 8.42955e-08 
  593 KSP Residual norm 8.29922e-08 
  594 KSP Residual norm 8.17394e-08 
  595 KSP Residual norm 7.98775e-08 
  596 KSP Residual norm 7.6978e-08 
  597 KSP Residual norm 7.39772e-08 
  598 KSP Residual norm 7.03117e-08 
  599 KSP Residual norm 6.79989e-08 
  600 KSP Residual norm 6.68233e-08 
  601 KSP Residual norm 6.61615e-08 
  602 KSP Residual norm 6.49431e-08 
  603 KSP Residual norm 6.38894e-08 
  604 KSP Residual norm 6.29514e-08 
  605 KSP Residual norm 6.24706e-08 
  606 KSP Residual norm 6.20513e-08 
  607 KSP Residual norm 6.17785e-08 
  608 KSP Residual norm 6.1426e-08 
  609 KSP Residual norm 6.11142e-08 
  610 KSP Residual norm 6.08594e-08 
  611 KSP Residual norm 6.06562e-08 
  612 KSP Residual norm 6.04097e-08 
  613 KSP Residual norm 6.01443e-08 
  614 KSP Residual norm 5.98228e-08 
  615 KSP Residual norm 5.93412e-08 
  616 KSP Residual norm 5.86778e-08 
  617 KSP Residual norm 5.77768e-08 
  618 KSP Residual norm 5.69713e-08 
  619 KSP Residual norm 5.61921e-08 
  620 KSP Residual norm 5.55074e-08 
  621 KSP Residual norm 5.48456e-08 
  622 KSP Residual norm 5.41337e-08 
  623 KSP Residual norm 5.35145e-08 
  624 KSP Residual norm 5.28972e-08 
  625 KSP Residual norm 5.22389e-08 
  626 KSP Residual norm 5.13957e-08 
  627 KSP Residual norm 5.00347e-08 
  628 KSP Residual norm 4.88512e-08 
  629 KSP Residual norm 4.76239e-08 
  630 KSP Residual norm 4.64052e-08 
  631 KSP Residual norm 4.54481e-08 
  632 KSP Residual norm 4.44285e-08 
  633 KSP Residual norm 4.35844e-08 
  634 KSP Residual norm 4.29227e-08 
  635 KSP Residual norm 4.24013e-08 
  636 KSP Residual norm 4.18586e-08 
  637 KSP Residual norm 4.12788e-08 
  638 KSP Residual norm 4.084e-08 
  639 KSP Residual norm 4.0543e-08 
  640 KSP Residual norm 4.03393e-08 
  641 KSP Residual norm 4.01564e-08 
  642 KSP Residual norm 3.99705e-08 
  643 KSP Residual norm 3.97737e-08 
  644 KSP Residual norm 3.95339e-08 
  645 KSP Residual norm 3.92073e-08 
  646 KSP Residual norm 3.87476e-08 
  647 KSP Residual norm 3.8273e-08 
  648 KSP Residual norm 3.78401e-08 
  649 KSP Residual norm 3.73206e-08 
  650 KSP Residual norm 3.6628e-08 
  651 KSP Residual norm 3.58676e-08 
  652 KSP Residual norm 3.50216e-08 
  653 KSP Residual norm 3.3985e-08 
  654 KSP Residual norm 3.30867e-08 
  655 KSP Residual norm 3.22321e-08 
  656 KSP Residual norm 3.14697e-08 
  657 KSP Residual norm 3.06127e-08 
  658 KSP Residual norm 2.99236e-08 
  659 KSP Residual norm 2.94736e-08 
  660 KSP Residual norm 2.91993e-08 
  661 KSP Residual norm 2.89945e-08 
  662 KSP Residual norm 2.88362e-08 
  663 KSP Residual norm 2.86907e-08 
  664 KSP Residual norm 2.84848e-08 
  665 KSP Residual norm 2.82421e-08 
  666 KSP Residual norm 2.79563e-08 
  667 KSP Residual norm 2.7654e-08 
  668 KSP Residual norm 2.73711e-08 
  669 KSP Residual norm 2.69767e-08 
  670 KSP Residual norm 2.64699e-08 
  671 KSP Residual norm 2.57027e-08 
  672 KSP Residual norm 2.47716e-08 
  673 KSP Residual norm 2.36025e-08 
  674 KSP Residual norm 2.25978e-08 
  675 KSP Residual norm 2.14216e-08 
  676 KSP Residual norm 2.04003e-08 
  677 KSP Residual norm 1.98094e-08 
  678 KSP Residual norm 1.95261e-08 
  679 KSP Residual norm 1.93115e-08 
  680 KSP Residual norm 1.91802e-08 
  681 KSP Residual norm 1.90818e-08 
  682 KSP Residual norm 1.89672e-08 
  683 KSP Residual norm 1.88333e-08 
  684 KSP Residual norm 1.86642e-08 
  685 KSP Residual norm 1.84559e-08 
  686 KSP Residual norm 1.8276e-08 
  687 KSP Residual norm 1.80936e-08 
  688 KSP Residual norm 1.78297e-08 
  689 KSP Residual norm 1.75176e-08 
  690 KSP Residual norm 1.71653e-08 
